jsonstat,.,|
label,"Population by province of residence, place of birth, age, gender and year in Galicia"
source,INE and IGE
updated,2012-12-27T12:25:09Z
href,https://json-stat.org/samples/galicia.json
dimension,birth,place of birth,6,T,total,C,county of residence,P,another county in the same province,G,another province of Galicia,A,in another autonomous community,F,abroad,geo
dimension,age,age group,22,T,total,0,0-4,5,5-9,10,10-14,15,15-19,20,20-24,25,25-29,30,30-34,35,35-39,40,40-44,45,45-49,50,50-54,55,55-59,60,60-64,65,65-69,70,70-74,75,75-79,80,80-84,85,85-89,90,90-94,95,95-99,100,100+
dimension,gender,gender,3,T,total,M,male,F,female
dimension,time,year,2,2001,2001,2011,2011,time
dimension,residence,province of residence,5,T,total,15,A Coruña,27,Lugo,32,Ourense,36,Pontevedra,geo
dimension,concept,concept,1,pop,population,metric,0|persons
data
birth,age,gender,time,residence,concept,value
T,T,T,2001,T,pop,2695880
T,T,T,2001,15,pop,1096027
T,T,T,2001,27,pop,357648
T,T,T,2001,32,pop,338446
T,T,T,2001,36,pop,903759
T,T,T,2011,T,pop,2772928
T,T,T,2011,15,pop,1141286
T,T,T,2011,27,pop,348067
T,T,T,2011,32,pop,328697
T,T,T,2011,36,pop,954877
T,T,M,2001,T,pop,1294378
T,T,M,2001,15,pop,525388
T,T,M,2001,27,pop,173339
T,T,M,2001,32,pop,161968
T,T,M,2001,36,pop,433683
T,T,M,2011,T,pop,1341269
T,T,M,2011,15,pop,549283
T,T,M,2011,27,pop,169376
T,T,M,2011,32,pop,158758
T,T,M,2011,36,pop,463853
T,T,F,2001,T,pop,1401502
T,T,F,2001,15,pop,570639
T,T,F,2001,27,pop,184309
T,T,F,2001,32,pop,176478
T,T,F,2001,36,pop,470076
T,T,F,2011,T,pop,1431658
T,T,F,2011,15,pop,592004
T,T,F,2011,27,pop,178692
T,T,F,2011,32,pop,169939
T,T,F,2011,36,pop,491024
T,0,T,2001,T,pop,94722
T,0,T,2001,15,pop,38504
T,0,T,2001,27,pop,9991
T,0,T,2001,32,pop,9364
T,0,T,2001,36,pop,36863
T,0,T,2011,T,pop,113118
T,0,T,2011,15,pop,47928
T,0,T,2011,27,pop,11252
T,0,T,2011,32,pop,10574
T,0,T,2011,36,pop,43364
T,0,M,2001,T,pop,48723
T,0,M,2001,15,pop,19757
T,0,M,2001,27,pop,5090
T,0,M,2001,32,pop,4830
T,0,M,2001,36,pop,19046
T,0,M,2011,T,pop,58669
T,0,M,2011,15,pop,24796
T,0,M,2011,27,pop,5710
T,0,M,2011,32,pop,5476
T,0,M,2011,36,pop,22687
T,0,F,2001,T,pop,45999
T,0,F,2001,15,pop,18747
T,0,F,2001,27,pop,4901
T,0,F,2001,32,pop,4534
T,0,F,2001,36,pop,17817
T,0,F,2011,T,pop,54449
T,0,F,2011,15,pop,23132
T,0,F,2011,27,pop,5542
T,0,F,2011,32,pop,5098
T,0,F,2011,36,pop,20677
T,5,T,2001,T,pop,101884
T,5,T,2001,15,pop,40697
T,5,T,2001,27,pop,11500
T,5,T,2001,32,pop,11161
T,5,T,2001,36,pop,38526
T,5,T,2011,T,pop,109678
T,5,T,2011,15,pop,45491
T,5,T,2011,27,pop,10833
T,5,T,2011,32,pop,10531
T,5,T,2011,36,pop,42822
T,5,M,2001,T,pop,52343
T,5,M,2001,15,pop,20844
T,5,M,2001,27,pop,5818
T,5,M,2001,32,pop,5819
T,5,M,2001,36,pop,19862
T,5,M,2011,T,pop,56623
T,5,M,2011,15,pop,23352
T,5,M,2011,27,pop,5626
T,5,M,2011,32,pop,5416
T,5,M,2011,36,pop,22230
T,5,F,2001,T,pop,49541
T,5,F,2001,15,pop,19853
T,5,F,2001,27,pop,5682
T,5,F,2001,32,pop,5342
T,5,F,2001,36,pop,18664
T,5,F,2011,T,pop,53055
T,5,F,2011,15,pop,22140
T,5,F,2011,27,pop,5207
T,5,F,2011,32,pop,5115
T,5,F,2011,36,pop,20593
T,10,T,2001,T,pop,122960
T,10,T,2001,15,pop,48899
T,10,T,2001,27,pop,14843
T,10,T,2001,32,pop,13668
T,10,T,2001,36,pop,45550
T,10,T,2011,T,pop,104734
T,10,T,2011,15,pop,42888
T,10,T,2011,27,pop,11176
T,10,T,2011,32,pop,10389
T,10,T,2011,36,pop,40281
T,10,M,2001,T,pop,62994
T,10,M,2001,15,pop,25108
T,10,M,2001,27,pop,7589
T,10,M,2001,32,pop,6938
T,10,M,2001,36,pop,23359
T,10,M,2011,T,pop,54063
T,10,M,2011,15,pop,22121
T,10,M,2011,27,pop,5712
T,10,M,2011,32,pop,5335
T,10,M,2011,36,pop,20896
T,10,F,2001,T,pop,59966
T,10,F,2001,15,pop,23791
T,10,F,2001,27,pop,7254
T,10,F,2001,32,pop,6730
T,10,F,2001,36,pop,22191
T,10,F,2011,T,pop,50671
T,10,F,2011,15,pop,20767
T,10,F,2011,27,pop,5464
T,10,F,2011,32,pop,5054
T,10,F,2011,36,pop,19385
T,15,T,2001,T,pop,157255
T,15,T,2001,15,pop,63920
T,15,T,2001,27,pop,19036
T,15,T,2001,32,pop,17447
T,15,T,2001,36,pop,56852
T,15,T,2011,T,pop,111475
T,15,T,2011,15,pop,44587
T,15,T,2011,27,pop,12615
T,15,T,2011,32,pop,12264
T,15,T,2011,36,pop,42010
T,15,M,2001,T,pop,80408
T,15,M,2001,15,pop,32665
T,15,M,2001,27,pop,9630
T,15,M,2001,32,pop,9014
T,15,M,2001,36,pop,29099
T,15,M,2011,T,pop,57320
T,15,M,2011,15,pop,22767
T,15,M,2011,27,pop,6429
T,15,M,2011,32,pop,6393
T,15,M,2011,36,pop,21730
T,15,F,2001,T,pop,76847
T,15,F,2001,15,pop,31255
T,15,F,2001,27,pop,9406
T,15,F,2001,32,pop,8433
T,15,F,2001,36,pop,27753
T,15,F,2011,T,pop,54156
T,15,F,2011,15,pop,21819
T,15,F,2011,27,pop,6186
T,15,F,2011,32,pop,5871
T,15,F,2011,36,pop,20280
T,20,T,2001,T,pop,207668
T,20,T,2001,15,pop,85392
T,20,T,2001,27,pop,23538
T,20,T,2001,32,pop,22348
T,20,T,2001,36,pop,76390
T,20,T,2011,T,pop,132761
T,20,T,2011,15,pop,53232
T,20,T,2011,27,pop,16119
T,20,T,2011,32,pop,14823
T,20,T,2011,36,pop,48587
T,20,M,2001,T,pop,105460
T,20,M,2001,15,pop,43477
T,20,M,2001,27,pop,12036
T,20,M,2001,32,pop,11348
T,20,M,2001,36,pop,38599
T,20,M,2011,T,pop,67613
T,20,M,2011,15,pop,27065
T,20,M,2011,27,pop,8215
T,20,M,2011,32,pop,7498
T,20,M,2011,36,pop,24834
T,20,F,2001,T,pop,102208
T,20,F,2001,15,pop,41915
T,20,F,2001,27,pop,11502
T,20,F,2001,32,pop,11000
T,20,F,2001,36,pop,37791
T,20,F,2011,T,pop,65149
T,20,F,2011,15,pop,26167
T,20,F,2011,27,pop,7904
T,20,F,2011,32,pop,7325
T,20,F,2011,36,pop,23752
T,25,T,2001,T,pop,213916
T,25,T,2001,15,pop,89288
T,25,T,2001,27,pop,23541
T,25,T,2001,32,pop,22813
T,25,T,2001,36,pop,78274
T,25,T,2011,T,pop,165935
T,25,T,2011,15,pop,68441
T,25,T,2011,27,pop,20045
T,25,T,2011,32,pop,18111
T,25,T,2011,36,pop,59339
T,25,M,2001,T,pop,107324
T,25,M,2001,15,pop,44906
T,25,M,2001,27,pop,11646
T,25,M,2001,32,pop,11372
T,25,M,2001,36,pop,39400
T,25,M,2011,T,pop,84038
T,25,M,2011,15,pop,34355
T,25,M,2011,27,pop,10189
T,25,M,2011,32,pop,9252
T,25,M,2011,36,pop,30242
T,25,F,2001,T,pop,106592
T,25,F,2001,15,pop,44382
T,25,F,2001,27,pop,11895
T,25,F,2001,32,pop,11441
T,25,F,2001,36,pop,38874
T,25,F,2011,T,pop,81897
T,25,F,2011,15,pop,34086
